[0.000000] (-) TimerEvent: {}
[0.000075] (-) JobUnselected: {'identifier': 'ar_loc_base'}
[0.000091] (-) JobUnselected: {'identifier': 'ar_mapping_base'}
[0.000101] (-) JobUnselected: {'identifier': 'ar_slam_base'}
[0.000109] (-) JobUnselected: {'identifier': 'button_server'}
[0.000116] (-) JobUnselected: {'identifier': 'collision_avoidance_base'}
[0.000124] (-) JobUnselected: {'identifier': 'cs7630_msgs'}
[0.000131] (-) JobUnselected: {'identifier': 'face_detect_base'}
[0.000139] (-) JobUnselected: {'identifier': 'face_msg'}
[0.000146] (-) JobUnselected: {'identifier': 'floor_nav'}
[0.000153] (-) JobUnselected: {'identifier': 'joy_pack'}
[0.000161] (-) JobUnselected: {'identifier': 'keyboard_teleop'}
[0.000168] (-) JobUnselected: {'identifier': 'obstacle_avoidance_base'}
[0.000177] (-) JobUnselected: {'identifier': 'occgrid_planner'}
[0.000184] (-) JobUnselected: {'identifier': 'occgrid_planner_base'}
[0.000191] (-) JobUnselected: {'identifier': 'rover_driver_base'}
[0.000198] (-) JobUnselected: {'identifier': 'task_manager_client_py'}
[0.000205] (-) JobUnselected: {'identifier': 'task_manager_lib'}
[0.000212] (-) JobUnselected: {'identifier': 'task_manager_msgs'}
[0.000220] (-) JobUnselected: {'identifier': 'task_manager_nav2'}
[0.000227] (-) JobUnselected: {'identifier': 'task_manager_sync'}
[0.000234] (-) JobUnselected: {'identifier': 'turtlebot_launch'}
[0.000241] (-) JobUnselected: {'identifier': 'vrep4_helpers'}
[0.000248] (-) JobUnselected: {'identifier': 'vrep_ros_teleop'}
[0.000255] (-) JobUnselected: {'identifier': 'wifi_map_base'}
[0.000262] (-) JobUnselected: {'identifier': 'wpa_cli_msgs'}
[0.000270] (-) EventReactorShutdown: {}
