[0.000000] (-) TimerEvent: {}
[0.000157] (-) JobUnselected: {'identifier': 'ar_loc_base'}
[0.000187] (-) JobUnselected: {'identifier': 'ar_mapping_base'}
[0.000205] (-) JobUnselected: {'identifier': 'ar_slam_base'}
[0.000222] (-) JobUnselected: {'identifier': 'button_server'}
[0.000236] (-) JobUnselected: {'identifier': 'collision_avoidance_base'}
[0.000251] (-) JobUnselected: {'identifier': 'cs7630_msgs'}
[0.000267] (-) JobUnselected: {'identifier': 'face_detect_base'}
[0.000281] (-) JobUnselected: {'identifier': 'face_msg'}
[0.000297] (-) JobUnselected: {'identifier': 'floor_nav'}
[0.000311] (-) JobUnselected: {'identifier': 'joy_pack'}
[0.000326] (-) JobUnselected: {'identifier': 'keyboard_teleop'}
[0.000340] (-) JobUnselected: {'identifier': 'obstacle_avoidance_base'}
[0.000354] (-) JobUnselected: {'identifier': 'occgrid_planner'}
[0.000367] (-) JobUnselected: {'identifier': 'occgrid_planner_base'}
[0.000381] (-) JobUnselected: {'identifier': 'rover_driver_base'}
[0.000395] (-) JobUnselected: {'identifier': 'task_manager_client_py'}
[0.000409] (-) JobUnselected: {'identifier': 'task_manager_lib'}
[0.000421] (-) JobUnselected: {'identifier': 'task_manager_msgs'}
[0.000435] (-) JobUnselected: {'identifier': 'task_manager_nav2'}
[0.000450] (-) JobUnselected: {'identifier': 'task_manager_sync'}
[0.000465] (-) JobUnselected: {'identifier': 'turtlebot_launch'}
[0.000480] (-) JobUnselected: {'identifier': 'vrep4_helpers'}
[0.000494] (-) JobUnselected: {'identifier': 'vrep_ros_teleop'}
[0.000509] (-) JobUnselected: {'identifier': 'wifi_map_base'}
[0.000522] (-) JobUnselected: {'identifier': 'wpa_cli_msgs'}
[0.000538] (-) EventReactorShutdown: {}
